Laika zīmogs;Kāds ir jūsu vecums?;Kāds ir jūsu dzimums?;Vai tu klausies mūziku, kad mācies vai strādā?;Kā tu vērtē savu produktivitāti mācību/darba laikā (bez mūzikas)?;Kāda veida mūziku tu parasti  klausies mācību/darbu laikā?;Cik skaļi tu klausies mūziku mācību/ darba laikā?;Kā mūzikas klausīšanās ietekmē tavu koncentrēšanos?;"Vai ir kāds mūzikas žanrs, kas tev traucē mācībās/darbā?
";"Ja uz iepriekšējo jautājumu atbildēji jā, tad kāds/kādi?
";Vai mūzikas klausīšanās tev palīdz justies mierīgākam?
2.16.2025 18:55:29;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Roks;Jā, vienmēr
2.16.2025 18:55:43;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Tā traucē koncentrēšanos;jā;;Dažreiz
2.16.2025 18:57:06;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā traucē koncentrēšanos;nē;.;Jā, vienmēr
2.16.2025 18:57:30;14-24;Vīrietis;jā,dažreiz;Esmu produktīvs bez vai ar to;White girl music;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.16.2025 19:00:08;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Roks vai metāls;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.16.2025 19:03:19;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;White girl music;Skaļi;Tā traucē koncentrēšanos;nē;;Dažreiz
2.16.2025 19:41:16;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;White girl music;Vidēji skaļi;Tā palīdz koncentrēties;nē;Ne;Jā, vienmēr
2.16.2025 19:54:31;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.16.2025 20:01:48;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Dažādi;Skaļi;Neietekmē;jā;Metāls ;Jā, vienmēr
2.16.2025 20:30:26;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Relaksējošu;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.16.2025 21:07:22;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;White girl music;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.16.2025 21:12:30;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.16.2025 21:26:32;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.17.2025 5:59:26;25-34;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā traucē koncentrēšanos;jā;Metāls ;Dažreiz
2.17.2025 8:22:16;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā palīdz koncentrēties;nē;;Dažreiz
2.17.2025 8:23:42;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.17.2025 8:27:52;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Neietekmē;jā;Roks vai metāla mūzikas žanrs;Dažreiz
2.17.2025 8:28:36;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Mierīgu;Ļoti klusi;Tā palīdz koncentrēties;jā;ass un enerģijas pārpilns, kur dziedātājs nevis dzied, bet bļauj...(AcDc kā piemērs);Dažreiz
2.17.2025 8:31:09;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Jazz;Vidēji skaļi;Tā palīdz koncentrēties;jā;D&B;Dažreiz
2.17.2025 8:46:04;14-24;Vīrietis;Jā ,vienmēr;Es vienmēr esmu produktīvs;Visu;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.17.2025 8:51:40;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Klasisko mūziku;Skaļi;Neietekmē;nē;;Dažreiz
2.17.2025 9:54:36;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;jā;Roks;Dažreiz
2.17.2025 13:33:59;14-24;Vīrietis;nē,nekad;Es vienmēr esmu produktīvs;Nekādu;Neklausos;Tā traucē koncentrēšanos;jā;Man jebkāda mūzika traucē koncentrēties.;Dažreiz
2.17.2025 15:05:42;14-24;Sieviete;jā,dažreiz;Citreiz vajag klusumu, citreiz mūziku;Tautasdziesmas/folkmūzika;Skaļi;Dažreiz;jā;Traucē, ja mūzikai pievēršos vairāk nekā darbam, bet ja tā, tad noteikti mūzika, kas man nepatīk;Jā, vienmēr
2.18.2025 11:08:14;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Klasisko mūziku;Vidēji skaļi;Tā palīdz koncentrēties;jā;rokmūzika;Jā, vienmēr
